requirement_code,module,category_code,restricted,notes
AAM-024,MOD-AIR-AMBULANCE,PATIENT_TRANSPORT_MOBILITY,false,"Trauma motion-restriction kit: splints, vacuum mattress"
AAM-025,MOD-AIR-AMBULANCE,INFUSION_INJECTION,false,
AAM-026,MOD-AIR-AMBULANCE,MATERNITY_NEONATAL_EQUIPMENT,false,Child delivery and infant management kit
AAM-027,MOD-AIR-AMBULANCE,SUCTION_OXYGEN_DELIVERY,false,
AAM-028,MOD-AIR-AMBULANCE,WOUND_CARE_CONSUMABLES,false,
AAM-029,MOD-AIR-AMBULANCE,MATERNITY_NEONATAL_EQUIPMENT,false,
AAM-030,MOD-AIR-AMBULANCE,PATIENT_TRANSPORT_MOBILITY,false,
AAM-031,MOD-AIR-AMBULANCE,MEDICINES_GENERAL,true,
AAM-032,MOD-AIR-AMBULANCE,WOUND_CARE_CONSUMABLES,false,
AAM-033,MOD-AIR-AMBULANCE,LINEN_TEXTILES,false,
AAM-034,MOD-AIR-AMBULANCE,CONTROLLED_MEDICINES,true,"Double-lock DDA cupboard stock (morphine, fentanyl, pethidine)"
AAM-035,MOD-AIR-AMBULANCE,REFRIGERATION_COLD_CHAIN,false,
ALL-001,MOD-ALL-HEALTH-INSTITUTIONS,EXCLUDED,false,"Legal practice requirement (registered institutions only), not a purchasable item"
ALL-013,MOD-ALL-HEALTH-INSTITUTIONS,OFFICE_FURNITURE_FILING,false,
ALL-015,MOD-ALL-HEALTH-INSTITUTIONS,CLINICAL_FURNITURE,false,
ALL-016,MOD-ALL-HEALTH-INSTITUTIONS,REGISTERS_SIGNAGE_STATIONERY,false,
ALL-019,MOD-ALL-HEALTH-INSTITUTIONS,OFFICE_FURNITURE_FILING,false,
ALL-020,MOD-ALL-HEALTH-INSTITUTIONS,ICT_COMMUNICATIONS,false,
ALL-021,MOD-ALL-HEALTH-INSTITUTIONS,WASTE_MANAGEMENT,false,
ALL-028,MOD-ALL-HEALTH-INSTITUTIONS,WASTE_MANAGEMENT,false,
ALL-031,MOD-ALL-HEALTH-INSTITUTIONS,FIRE_SAFETY_EQUIPMENT,false,
ALL-032,MOD-ALL-HEALTH-INSTITUTIONS,FIRE_SAFETY_EQUIPMENT,false,
ALL-033,MOD-ALL-HEALTH-INSTITUTIONS,FIRE_SAFETY_EQUIPMENT,false,
ALL-038,MOD-ALL-HEALTH-INSTITUTIONS,LAUNDRY_EQUIPMENT,false,
ALL-039,MOD-ALL-HEALTH-INSTITUTIONS,LAUNDRY_EQUIPMENT,false,Drying facilities / external drying line
ALL-040,MOD-ALL-HEALTH-INSTITUTIONS,LAUNDRY_EQUIPMENT,false,
ALL-043,MOD-ALL-HEALTH-INSTITUTIONS,LAUNDRY_EQUIPMENT,false,
ALL-045,MOD-ALL-HEALTH-INSTITUTIONS,WASTE_MANAGEMENT,false,
ALL-050,MOD-ALL-HEALTH-INSTITUTIONS,LAUNDRY_EQUIPMENT,false,
ALL-051,MOD-ALL-HEALTH-INSTITUTIONS,LAUNDRY_EQUIPMENT,false,
ALL-052,MOD-ALL-HEALTH-INSTITUTIONS,EXCLUDED,false,"HPA premises registration obligation, not a purchasable item"
AMB-002,MOD-AMBULANCE,OFFICE_FURNITURE_FILING,false,
AMB-007,MOD-AMBULANCE,OFFICE_FURNITURE_FILING,false,
AMB-008,MOD-AMBULANCE,ICT_COMMUNICATIONS,false,
AMB-009,MOD-AMBULANCE,WASTE_MANAGEMENT,false,
AMB-010,MOD-AMBULANCE,CLINICAL_FURNITURE,false,On-call bed with linen
AMB-012,MOD-AMBULANCE,CLINICAL_FURNITURE,false,Ambulance-station couch with linen
AMB-013,MOD-AMBULANCE,EMERGENCY_RESUSCITATION,false,
AMB-014,MOD-AMBULANCE,EMERGENCY_RESUSCITATION,false,
AMB-015,MOD-AMBULANCE,REGISTERS_SIGNAGE_STATIONERY,false,Drug reference book
AMB-016,MOD-AMBULANCE,SUCTION_OXYGEN_DELIVERY,false,
AMB-017,MOD-AMBULANCE,SUCTION_OXYGEN_DELIVERY,false,
AMB-018,MOD-AMBULANCE,SUCTION_OXYGEN_DELIVERY,false,
AMB-019,MOD-AMBULANCE,EMERGENCY_RESUSCITATION,false,
AMB-020,MOD-AMBULANCE,EMERGENCY_RESUSCITATION,false,
AMB-021,MOD-AMBULANCE,CLINICAL_CONSUMABLES,false,Catheters
AMB-022,MOD-AMBULANCE,PATIENT_TRANSPORT_MOBILITY,false,
AMB-024,MOD-AMBULANCE,VEHICLE_FLEET_EQUIPMENT,false,
AMB-025,MOD-AMBULANCE,PATIENT_TRANSPORT_MOBILITY,false,
AUD-005,MOD-AUDIOLOGY-SPEECH,OFFICE_FURNITURE_FILING,false,
BIO-008,MOD-BIOKINETICS,OFFICE_FURNITURE_FILING,false,
BIO-010,MOD-BIOKINETICS,PHYSIOTHERAPY_REHAB_EQUIPMENT,false,
BIO-011,MOD-BIOKINETICS,CLINICAL_FURNITURE,false,
BIO-013,MOD-BIOKINETICS,LINEN_TEXTILES,false,
BIO-015,MOD-BIOKINETICS,PHYSIOTHERAPY_REHAB_EQUIPMENT,false,
BIO-016,MOD-BIOKINETICS,PHYSIOTHERAPY_REHAB_EQUIPMENT,false,
BIO-017,MOD-BIOKINETICS,PHYSIOTHERAPY_REHAB_EQUIPMENT,false,
BIO-018,MOD-BIOKINETICS,PHYSIOTHERAPY_REHAB_EQUIPMENT,false,
BIO-019,MOD-BIOKINETICS,ASSESSMENT_TOOLS,false,
BIO-020,MOD-BIOKINETICS,PATIENT_MONITORING,false,
BIO-021,MOD-BIOKINETICS,EMERGENCY_RESUSCITATION,false,
CHP-007,MOD-CHIROPODIST-PODIATRIST,PATIENT_TRANSPORT_MOBILITY,false,
CHP-008,MOD-CHIROPODIST-PODIATRIST,PHYSIOTHERAPY_REHAB_EQUIPMENT,false,
CHP-009,MOD-CHIROPODIST-PODIATRIST,CLINICAL_FURNITURE,false,Podiatry treatment chairs
CHP-010,MOD-CHIROPODIST-PODIATRIST,STERILISATION_DISINFECTION,false,
CHP-011,MOD-CHIROPODIST-PODIATRIST,STERILISATION_DISINFECTION,false,
CHP-013,MOD-CHIROPODIST-PODIATRIST,HAND_HYGIENE_SUPPLIES,false,
CHP-015,MOD-CHIROPODIST-PODIATRIST,WASTE_MANAGEMENT,false,
CHP-016,MOD-CHIROPODIST-PODIATRIST,SHARPS_CLINICAL_WASTE,false,
CHP-021,MOD-CHIROPODIST-PODIATRIST,HAND_HYGIENE_SUPPLIES,false,
CHP-022,MOD-CHIROPODIST-PODIATRIST,HAND_HYGIENE_SUPPLIES,false,
CLN-004,MOD-CLINIC,OFFICE_FURNITURE_FILING,false,
CLN-005,MOD-CLINIC,CLINICAL_FURNITURE,false,
CLN-006,MOD-CLINIC,CLINICAL_FURNITURE,false,
CLN-008,MOD-CLINIC,SHARPS_CLINICAL_WASTE,false,
CLN-009,MOD-CLINIC,WASTE_MANAGEMENT,false,
CLN-010,MOD-CLINIC,EMERGENCY_RESUSCITATION,false,
CLN-011,MOD-CLINIC,DIAGNOSTIC_INSTRUMENTS,false,
CLN-014,MOD-CLINIC,CLINICAL_FURNITURE,false,
CLN-015,MOD-CLINIC,WOUND_CARE_CONSUMABLES,false,
CLN-017,MOD-CLINIC,MEDICINES_GENERAL,true,
CLN-018,MOD-CLINIC,MEDICINES_GENERAL,true,
CLN-019,MOD-CLINIC,MEDICINES_GENERAL,true,
CLN-020,MOD-CLINIC,MEDICINES_GENERAL,true,
CLN-021,MOD-CLINIC,CONTROLLED_MEDICINES,true,Midazolam (benzodiazepine) - controlled substance
CLN-022,MOD-CLINIC,MEDICINES_GENERAL,true,
CLN-023,MOD-CLINIC,MEDICINES_GENERAL,true,
CLN-024,MOD-CLINIC,MEDICINES_GENERAL,true,
CLN-025,MOD-CLINIC,SUCTION_OXYGEN_DELIVERY,false,
CLN-026,MOD-CLINIC,EMERGENCY_RESUSCITATION,false,
CLN-027,MOD-CLINIC,EMERGENCY_RESUSCITATION,false,
CLN-028,MOD-CLINIC,EMERGENCY_RESUSCITATION,false,
CLN-029,MOD-CLINIC,EMERGENCY_RESUSCITATION,false,
CLN-030,MOD-CLINIC,INFUSION_INJECTION,false,
CLN-031,MOD-CLINIC,INFUSION_INJECTION,false,
CLN-032,MOD-CLINIC,MEDICINES_GENERAL,true,
CLN-033,MOD-CLINIC,SHARPS_CLINICAL_WASTE,false,
CLN-034,MOD-CLINIC,STERILISATION_DISINFECTION,false,
CLN-035,MOD-CLINIC,INFUSION_INJECTION,false,
CLN-036,MOD-CLINIC,EMERGENCY_RESUSCITATION,false,Resuscitation equipment
CLN-037,MOD-CLINIC,WASTE_MANAGEMENT,false,
CLN-038,MOD-CLINIC,SECURE_STORAGE,false,
CSW-002,MOD-CLINICAL-SOCIAL-WORKER,OFFICE_FURNITURE_FILING,false,
CSW-003,MOD-CLINICAL-SOCIAL-WORKER,CLINICAL_FURNITURE,false,
CSW-004,MOD-CLINICAL-SOCIAL-WORKER,OFFICE_FURNITURE_FILING,false,
CSW-005,MOD-CLINICAL-SOCIAL-WORKER,FACILITY_GENERAL_SUPPLIES,false,
CXR-006,MOD-CONVENTIONAL-RADIOGRAPHY,RADIATION_PROTECTION_SHIELDING,false,
CXR-013,MOD-CONVENTIONAL-RADIOGRAPHY,SUCTION_OXYGEN_DELIVERY,false,
CXR-014,MOD-CONVENTIONAL-RADIOGRAPHY,EMERGENCY_RESUSCITATION,false,Emergency equipment for contrast reactions
CXR-020,MOD-CONVENTIONAL-RADIOGRAPHY,DIAGNOSTIC_IMAGING_EQUIPMENT,false,
CXR-021,MOD-CONVENTIONAL-RADIOGRAPHY,RADIATION_PROTECTION_SHIELDING,false,
CXR-022,MOD-CONVENTIONAL-RADIOGRAPHY,RADIATION_PROTECTION_SHIELDING,false,
CXR-023,MOD-CONVENTIONAL-RADIOGRAPHY,DIAGNOSTIC_IMAGING_EQUIPMENT,false,
CXR-024,MOD-CONVENTIONAL-RADIOGRAPHY,DIAGNOSTIC_IMAGING_EQUIPMENT,false,
CXR-025,MOD-CONVENTIONAL-RADIOGRAPHY,EMERGENCY_RESUSCITATION,false,
CXR-026,MOD-CONVENTIONAL-RADIOGRAPHY,CLINICAL_FURNITURE,false,Radiography working table with bench
CXR-027,MOD-CONVENTIONAL-RADIOGRAPHY,DIAGNOSTIC_IMAGING_EQUIPMENT,false,
CXR-028,MOD-CONVENTIONAL-RADIOGRAPHY,CLINICAL_FURNITURE,false,Patient step for X-ray table
CXR-029,MOD-CONVENTIONAL-RADIOGRAPHY,DIAGNOSTIC_IMAGING_EQUIPMENT,false,
CXR-030,MOD-CONVENTIONAL-RADIOGRAPHY,RADIATION_PROTECTION_SHIELDING,false,
CXR-031,MOD-CONVENTIONAL-RADIOGRAPHY,ICT_COMMUNICATIONS,false,Computer workstation
CXR-032,MOD-CONVENTIONAL-RADIOGRAPHY,RADIATION_PROTECTION_SHIELDING,false,
CXR-033,MOD-CONVENTIONAL-RADIOGRAPHY,RADIATION_PROTECTION_SHIELDING,false,
CTS-011,MOD-CT,POWER_HVAC_ELECTRICAL,false,
CTS-012,MOD-CT,RADIATION_PROTECTION_SHIELDING,false,CT door safety switch wired to scanner control circuit
CTS-013,MOD-CT,RADIATION_PROTECTION_SHIELDING,false,
CTS-014,MOD-CT,RADIATION_PROTECTION_SHIELDING,false,
CTS-015,MOD-CT,RADIATION_PROTECTION_SHIELDING,false,
CTS-016,MOD-CT,RADIATION_PROTECTION_SHIELDING,false,
DEN-005,MOD-DENTAL-SURGERY,OFFICE_FURNITURE_FILING,false,
DEN-006,MOD-DENTAL-SURGERY,DENTAL_EQUIPMENT,false,
DEN-007,MOD-DENTAL-SURGERY,DENTAL_EQUIPMENT,false,Adjustable operator/assistant stools for dental surgery
DEN-009,MOD-DENTAL-SURGERY,MEDICINES_GENERAL,true,
DEN-010,MOD-DENTAL-SURGERY,MEDICINES_GENERAL,true,
DEN-011,MOD-DENTAL-SURGERY,MEDICINES_GENERAL,true,
DEN-012,MOD-DENTAL-SURGERY,MEDICINES_GENERAL,true,
DEN-013,MOD-DENTAL-SURGERY,CONTROLLED_MEDICINES,true,Midazolam (benzodiazepine) - controlled substance
DEN-014,MOD-DENTAL-SURGERY,MEDICINES_GENERAL,true,
DEN-015,MOD-DENTAL-SURGERY,MEDICINES_GENERAL,true,
DEN-016,MOD-DENTAL-SURGERY,MEDICINES_GENERAL,true,
DEN-017,MOD-DENTAL-SURGERY,SUCTION_OXYGEN_DELIVERY,false,
DEN-018,MOD-DENTAL-SURGERY,EMERGENCY_RESUSCITATION,false,
DEN-019,MOD-DENTAL-SURGERY,EMERGENCY_RESUSCITATION,false,
DEN-020,MOD-DENTAL-SURGERY,EMERGENCY_RESUSCITATION,false,
DEN-021,MOD-DENTAL-SURGERY,EMERGENCY_RESUSCITATION,false,
DEN-022,MOD-DENTAL-SURGERY,INFUSION_INJECTION,false,
DEN-023,MOD-DENTAL-SURGERY,INFUSION_INJECTION,false,
DEN-024,MOD-DENTAL-SURGERY,MEDICINES_GENERAL,true,
DEN-025,MOD-DENTAL-SURGERY,SHARPS_CLINICAL_WASTE,false,
DEN-026,MOD-DENTAL-SURGERY,WASTE_MANAGEMENT,false,
DEN-030,MOD-DENTAL-SURGERY,HAND_HYGIENE_SUPPLIES,false,
DEN-031,MOD-DENTAL-SURGERY,HAND_HYGIENE_SUPPLIES,false,
DEN-033,MOD-DENTAL-SURGERY,ICT_COMMUNICATIONS,false,Intra-oral camera and monitor screen
DEN-035,MOD-DENTAL-SURGERY,DIAGNOSTIC_IMAGING_EQUIPMENT,false,
DEN-036,MOD-DENTAL-SURGERY,DIAGNOSTIC_IMAGING_EQUIPMENT,false,
DEN-037,MOD-DENTAL-SURGERY,STERILISATION_DISINFECTION,false,
DIE-006,MOD-DIETICIAN,OFFICE_FURNITURE_FILING,false,
DIE-007,MOD-DIETICIAN,ANTHROPOMETRY_NUTRITION,false,
DIE-008,MOD-DIETICIAN,ANTHROPOMETRY_NUTRITION,false,
DIE-009,MOD-DIETICIAN,ANTHROPOMETRY_NUTRITION,false,
DIE-010,MOD-DIETICIAN,ANTHROPOMETRY_NUTRITION,false,
DIE-011,MOD-DIETICIAN,REGISTERS_SIGNAGE_STATIONERY,false,
DIE-013,MOD-DIETICIAN,OFFICE_FURNITURE_FILING,false,
DXA-002,MOD-DXA,RADIATION_PROTECTION_SHIELDING,false,
HFS-008,MOD-HOSPITAL-FOOD-SERVICES,ANTHROPOMETRY_NUTRITION,false,
HFS-009,MOD-HOSPITAL-FOOD-SERVICES,ANTHROPOMETRY_NUTRITION,false,
HFS-010,MOD-HOSPITAL-FOOD-SERVICES,ANTHROPOMETRY_NUTRITION,false,
HFS-011,MOD-HOSPITAL-FOOD-SERVICES,ANTHROPOMETRY_NUTRITION,false,
HFS-012,MOD-HOSPITAL-FOOD-SERVICES,REGISTERS_SIGNAGE_STATIONERY,false,
HFS-013,MOD-HOSPITAL-FOOD-SERVICES,ANTHROPOMETRY_NUTRITION,false,Food models for dietetic counselling
HFS-014,MOD-HOSPITAL-FOOD-SERVICES,REGISTERS_SIGNAGE_STATIONERY,false,Nutrition education wall charts
HFS-017,MOD-HOSPITAL-FOOD-SERVICES,FACILITY_GENERAL_SUPPLIES,false,
HFS-018,MOD-HOSPITAL-FOOD-SERVICES,OFFICE_FURNITURE_FILING,false,
HFS-019,MOD-HOSPITAL-FOOD-SERVICES,POINT_OF_CARE_TESTING,false,
HFS-020,MOD-HOSPITAL-FOOD-SERVICES,SHARPS_CLINICAL_WASTE,false,
HFS-021,MOD-HOSPITAL-FOOD-SERVICES,CLINICAL_FURNITURE,false,Couch
HFS-022,MOD-HOSPITAL-FOOD-SERVICES,OFFICE_FURNITURE_FILING,false,
HFS-023,MOD-HOSPITAL-FOOD-SERVICES,CLINICAL_FURNITURE,false,
HFS-024,MOD-HOSPITAL-FOOD-SERVICES,ICT_COMMUNICATIONS,false,
HFS-026,MOD-HOSPITAL-FOOD-SERVICES,WASTE_MANAGEMENT,false,
ICU-012,MOD-ICU,EMERGENCY_RESUSCITATION,false,
ICU-014,MOD-ICU,REFRIGERATION_COLD_CHAIN,false,
ICU-020,MOD-ICU,PATIENT_MONITORING,false,
ICU-021,MOD-ICU,PATIENT_MONITORING,false,
ICU-022,MOD-ICU,PATIENT_MONITORING,false,
ICU-023,MOD-ICU,PATIENT_MONITORING,false,
ICU-024,MOD-ICU,POINT_OF_CARE_TESTING,false,
ICU-025,MOD-ICU,PATIENT_MONITORING,false,
ICU-027,MOD-ICU,ANAESTHESIA_VENTILATION,false,
ICU-028,MOD-ICU,ANAESTHESIA_VENTILATION,false,
ICU-029,MOD-ICU,EMERGENCY_RESUSCITATION,false,
ICU-031,MOD-ICU,CLINICAL_FURNITURE,false,
ICU-032,MOD-ICU,INFUSION_INJECTION,false,
ICU-033,MOD-ICU,INFUSION_INJECTION,false,
ICU-034,MOD-ICU,SUCTION_OXYGEN_DELIVERY,false,
ICU-035,MOD-ICU,EMERGENCY_RESUSCITATION,false,
ICU-036,MOD-ICU,MEDICAL_LIGHTING,false,
ICU-037,MOD-ICU,LINEN_TEXTILES,false,
ICU-038,MOD-ICU,DIAGNOSTIC_INSTRUMENTS,false,
ICU-039,MOD-ICU,SUCTION_OXYGEN_DELIVERY,false,Chest drainage and suction apparatus
ICU-040,MOD-ICU,DIAGNOSTIC_INSTRUMENTS,false,
ICU-041,MOD-ICU,FACILITY_GENERAL_SUPPLIES,false,
ICU-042,MOD-ICU,FACILITY_GENERAL_SUPPLIES,false,
ICU-043,MOD-ICU,ANAESTHESIA_VENTILATION,false,
ICU-045,MOD-ICU,EMERGENCY_RESUSCITATION,false,
ICU-046,MOD-ICU,EMERGENCY_RESUSCITATION,false,
ICU-047,MOD-ICU,EMERGENCY_RESUSCITATION,false,
ICU-048,MOD-ICU,EMERGENCY_RESUSCITATION,false,
ICU-049,MOD-ICU,EMERGENCY_RESUSCITATION,false,
ICU-050,MOD-ICU,EMERGENCY_RESUSCITATION,false,
ICU-051,MOD-ICU,EMERGENCY_RESUSCITATION,false,
ICU-052,MOD-ICU,MEDICINES_GENERAL,true,
ICU-053,MOD-ICU,CLINICAL_CONSUMABLES,false,"Laryngoscope lubricant spray, not a scheduled medicine"
ICU-054,MOD-ICU,SURGICAL_INSTRUMENTS,false,
ICU-055,MOD-ICU,EMERGENCY_RESUSCITATION,false,
ICU-056,MOD-ICU,EMERGENCY_RESUSCITATION,false,
ICU-057,MOD-ICU,EMERGENCY_RESUSCITATION,false,
ICU-058,MOD-ICU,SUCTION_OXYGEN_DELIVERY,false,Suction machine on emergency trolley
ICU-059,MOD-ICU,MEDICINES_GENERAL,true,
ICU-060,MOD-ICU,INFUSION_INJECTION,false,
ICU-061,MOD-ICU,INFUSION_INJECTION,false,
ICU-062,MOD-ICU,EMERGENCY_RESUSCITATION,false,
ICU-063,MOD-ICU,SURGICAL_INSTRUMENTS,false,
LAB-004,MOD-LABORATORY,SECURE_STORAGE,false,Access-control provision (locks/controlled entry)
LAB-009,MOD-LABORATORY,EXCLUDED,false,"Containment-level practice requirement, achieved by lab design/accreditation, not a product"
LAB-011,MOD-LABORATORY,SHARPS_CLINICAL_WASTE,false,
LAB-021,MOD-LABORATORY,REGISTERS_SIGNAGE_STATIONERY,false,Safety manual/handbook
LAB-024,MOD-LABORATORY,PPE_PROTECTIVE_WEAR,false,
LAB-025,MOD-LABORATORY,STERILISATION_DISINFECTION,false,
LAB-026,MOD-LABORATORY,LABORATORY_EQUIPMENT,false,
LAB-028,MOD-LABORATORY,LABORATORY_EQUIPMENT,false,
LAB-029,MOD-LABORATORY,FIRE_SAFETY_EQUIPMENT,false,
LAB-030,MOD-LABORATORY,WASTE_MANAGEMENT,false,Waste containment and disposal facilities
LAB-032,MOD-LABORATORY,EMERGENCY_RESUSCITATION,false,
LAB-035,MOD-LABORATORY,REGISTERS_SIGNAGE_STATIONERY,false,
LAB-042,MOD-LABORATORY,SECURE_STORAGE,false,Hazardous material (gases/acids/alcohols) safety storage
MAM-002,MOD-MAMMOGRAPHY,RADIATION_PROTECTION_SHIELDING,false,
MAM-003,MOD-MAMMOGRAPHY,RADIATION_PROTECTION_SHIELDING,false,
MAM-004,MOD-MAMMOGRAPHY,RADIATION_PROTECTION_SHIELDING,false,
MAT-002,MOD-MATERNITY-HOME,CLINICAL_FURNITURE,false,
MAT-003,MOD-MATERNITY-HOME,WASTE_MANAGEMENT,false,
MAT-004,MOD-MATERNITY-HOME,CLINICAL_FURNITURE,false,
MAT-005,MOD-MATERNITY-HOME,INFUSION_INJECTION,false,
MAT-006,MOD-MATERNITY-HOME,CLINICAL_FURNITURE,false,
MAT-007,MOD-MATERNITY-HOME,CLINICAL_FURNITURE,false,
MAT-008,MOD-MATERNITY-HOME,PATIENT_TRANSPORT_MOBILITY,false,
MAT-010,MOD-MATERNITY-HOME,PATIENT_MONITORING,false,
MAT-011,MOD-MATERNITY-HOME,DIAGNOSTIC_INSTRUMENTS,false,
MAT-012,MOD-MATERNITY-HOME,MATERNITY_NEONATAL_EQUIPMENT,false,
MAT-013,MOD-MATERNITY-HOME,MATERNITY_NEONATAL_EQUIPMENT,false,
MAT-014,MOD-MATERNITY-HOME,SUCTION_OXYGEN_DELIVERY,false,
MAT-015,MOD-MATERNITY-HOME,ANTHROPOMETRY_NUTRITION,false,
MAT-016,MOD-MATERNITY-HOME,POINT_OF_CARE_TESTING,false,
MAT-017,MOD-MATERNITY-HOME,POINT_OF_CARE_TESTING,false,
MAT-018,MOD-MATERNITY-HOME,POINT_OF_CARE_TESTING,false,
MAT-019,MOD-MATERNITY-HOME,ANTHROPOMETRY_NUTRITION,false,
MAT-020,MOD-MATERNITY-HOME,SUCTION_OXYGEN_DELIVERY,false,
MAT-021,MOD-MATERNITY-HOME,PATIENT_TRANSPORT_MOBILITY,false,
MAT-022,MOD-MATERNITY-HOME,POWER_HVAC_ELECTRICAL,false,
MAT-024,MOD-MATERNITY-HOME,MEDICINES_GENERAL,true,
MAT-025,MOD-MATERNITY-HOME,MEDICINES_GENERAL,true,
MAT-026,MOD-MATERNITY-HOME,MEDICINES_GENERAL,true,
MAT-027,MOD-MATERNITY-HOME,MEDICINES_GENERAL,true,
MAT-028,MOD-MATERNITY-HOME,CONTROLLED_MEDICINES,true,Midazolam (benzodiazepine) - controlled substance
MAT-029,MOD-MATERNITY-HOME,MEDICINES_GENERAL,true,
MAT-030,MOD-MATERNITY-HOME,MEDICINES_GENERAL,true,
