code,label,description,restricted,required_credential,search_terms
WOUND_CARE_CONSUMABLES,Wound care & dressing consumables,"Dressings, suture packs, haemorrhage control and burns management kits, stocked dressing trolleys.",false,,dressings;sutures;wound care;bandages;burns kit
CLINICAL_CONSUMABLES,General clinical consumables,"Catheters, lubricant sprays, absorbent tissues and other general single-use clinical supplies.",false,,catheter;consumables;disposables;single use;clinical supplies
PPE_PROTECTIVE_WEAR,PPE & protective wear,"Examination gloves, aprons, gowns, lab coats, respirators, gumboots and theatre headgear.",false,,gloves;apron;ppe;protective clothing;respirator;gown
STERILISATION_DISINFECTION,"Sterilisation, disinfection & cleaning","Autoclaves and sterilizers, disinfectants, antiseptic scrub solutions, sterile pack preparation and cleaning detergents.",false,,autoclave;sterilizer;disinfectant;antiseptic;cleaning detergent
HAND_HYGIENE_SUPPLIES,Hand hygiene & washroom supplies,"Liquid soap, antiseptic soap dispensers, paper towels and single-use hand drying supplies.",false,,liquid soap;paper towels;hand hygiene;soap dispenser;hand drying
WASTE_MANAGEMENT,Waste bins & receptacles,"Foot-operated pedal bins, litter bins, kick-about receptacles and general waste containment.",false,,pedal bin;waste bin;receptacle;litter bin;kick about
SHARPS_CLINICAL_WASTE,Sharps & clinical waste containers,Sharps boxes and containers and clinical/infectious waste disposal supplies.,false,,sharps box;sharps container;clinical waste;biohazard
LAUNDRY_EQUIPMENT,Laundry & linen handling equipment,"Washing machines, drying and ironing facilities, linen skips and clean/dirty linen trolleys.",false,,washing machine;linen trolley;linen skip;laundry;ironing
LINEN_TEXTILES,"Linen, bedding & patient warming","Bed linen, towels, sterile theatre linen and patient warming blankets.",false,,linen;towels;bedding;blanket;warming blanket
CLINICAL_FURNITURE,"Clinical furniture, beds & trolleys","Hospital beds, examination couches, treatment/dressing/medicine trolleys, screens, stools, lockers and patient-area seating.",false,,hospital bed;examination couch;trolley;screen;stool;bedside locker
OFFICE_FURNITURE_FILING,"Office & reception furniture, filing","Desks, practitioner and reception chairs, waiting room seating and lockable/secure filing cabinets for records.",false,,desk;office chair;filing cabinet;reception furniture;waiting room
SECURE_STORAGE,Secure storage & controlled access,"Lockable medicine cupboards and cabinets, dangerous drug cupboards (unstocked), hazardous material storage and access control provisions.",false,,lockable cupboard;medicine cabinet;secure storage;drug cupboard;access control
MEDICINES_GENERAL,Medicines & pharmaceuticals (general),"General and emergency medicines, IV fluids and pharmaceutical stock supplied by licensed wholesalers.",true,PHARMACEUTICAL_WHOLESALER_CERTIFICATE,medicines;pharmaceuticals;drugs;iv fluids;emergency drugs
CONTROLLED_MEDICINES,Controlled & dangerous drugs,"Schedule-controlled and dangerous drugs (DDA) such as morphine, pethidine and midazolam, including stocked DDA cupboards.",true,PHARMACEUTICAL_WHOLESALER_CERTIFICATE,controlled drugs;dda;narcotics;morphine;pethidine;midazolam
PHARMACY_DISPENSING_EQUIPMENT,Pharmacy dispensing & compounding equipment,"Pestles and mortars, measuring cylinders, counting trays, spatulas and dispensary balances.",false,,dispensing;compounding;counting tray;measuring cylinder;pharmacy balance
REFRIGERATION_COLD_CHAIN,Medical refrigeration & cold chain,"Medicine and vaccine refrigerators, fridge alarms and thermometers, temperature/humidity monitoring and recording systems.",false,,medical fridge;vaccine refrigerator;cold chain;temperature monitoring;fridge thermometer
DENTAL_EQUIPMENT,Dental surgery equipment,"Reclining dental chairs, operator/assistant stools and dental surgery apparatus.",false,,dental chair;dental unit;dental surgery;operator stool
OPTOMETRY_DIAGNOSTIC,Optometry examination instruments,"Trial lens sets and phoropters, slit lamps, tonometers, keratometers, retinoscopes, vision test charts and binocular vision tests.",false,,trial lens;slit lamp;tonometer;phoropter;vision chart;retinoscope
OPTICAL_DISPENSING,Optical dispensing & spectacle workshop,"Lensmeters/vertometers, PD rules, frame heaters and adjustment tools, spectacle frames, job trays and frame display units.",false,,lensmeter;spectacle frames;pd rule;frame heater;optical workshop
PHYSIOTHERAPY_REHAB_EQUIPMENT,"Physiotherapy, OT & rehabilitation equipment","Plinths, parallel bars, exercise and electrotherapy apparatus, therapeutic balls and bands, and paediatric therapy activity kits.",false,,plinth;parallel bars;exercise equipment;electrotherapy;rehabilitation;therapy
ASSESSMENT_TOOLS,Therapy assessment & measurement tools,"Goniometers, dynamometers, pinch gauges, sensation and perceptual test kits and functional assessment batteries.",false,,goniometer;dynamometer;assessment kit;pinch gauge;reflex hammer
ANTHROPOMETRY_NUTRITION,Anthropometry & nutrition assessment,"Weighing scales (adult, baby), height boards and stadiometers, MUAC tapes, tape measures and dietetic counselling aids.",false,,weighing scale;stadiometer;muac tape;height board;tape measure;baby scale
PATIENT_TRANSPORT_MOBILITY,Mobility aids & patient transport,"Wheelchairs, stretchers, patient trolleys, spinal boards and scoops, trauma immobilisation kits and patient handling lifters.",false,,wheelchair;stretcher;patient trolley;spinal board;mobility aid;patient handling
ORTHOPAEDIC_WORKSHOP,Orthopaedic & prosthetic workshop,"Plastics ovens, grinding and drilling machines, work benches, vices and hand tools for orthotic/prosthetic fabrication.",false,,prosthetics;orthotics;workshop tools;bench vice;grinding machine
DIAGNOSTIC_IMAGING_EQUIPMENT,Diagnostic imaging equipment,"X-ray machines and tables, computed radiography, cassettes and grids, film viewers, gamma cameras and MRI-compatible accessories.",false,,x-ray machine;computed radiography;film viewer;gamma camera;imaging;cassette
RADIATION_PROTECTION_SHIELDING,Radiation protection & imaging suite shielding,"Lead aprons and shields, room shielding, door interlocks, radiation warning lights and signage, survey monitors and MRI magnetic shielding.",false,,lead apron;radiation shielding;door interlock;warning light;radiation sign;survey meter
NUCLEAR_MEDICINE_SUPPLIES,Nuclear medicine & radiopharmacy supplies,"Radionuclide generators and radiopharmaceutical supply, dose calibrators, fume hoods, spill/decontamination kits and shielded waste containers.",false,,radiopharmaceutical;dose calibrator;radionuclide generator;radiopharmacy;decontamination
NATURAL_THERAPY_EQUIPMENT,Complementary & natural therapy devices,"Bioresonance machines, iriscopes, darkfield microscopes and related complementary practice devices.",false,,bioresonance;iriscope;darkfield microscope;natural therapy
MEDICAL_LIGHTING,Examination & procedure lighting,"Theatre lights, procedure lights, angle-poise examination lamps and mobile clinical lighting.",false,,theatre light;procedure light;examination lamp;angle poise;surgical light
POWER_HVAC_ELECTRICAL,"Power, HVAC & electrical installations","Filtered air conditioning, room heaters, power conditioning and emergency power-off installations.",false,,air conditioner;heater;power conditioning;hvac;emergency power
ICT_COMMUNICATIONS,"ICT, communications & call systems","Computers, printers, workstations, telephones, clinical cameras/monitors and emergency call systems.",false,,computer;printer;telephone;call system;workstation
FIRE_SAFETY_EQUIPMENT,Fire safety equipment,"Fire extinguishers, hose reels and serviced firefighting equipment.",false,,fire extinguisher;fire hose;firefighting;fire safety
LABORATORY_EQUIPMENT,Laboratory equipment & biosafety,"Biological safety cabinets, eye-wash stations and laboratory biosafety installations.",false,,biosafety cabinet;laboratory;eye wash;lab equipment
REGISTERS_SIGNAGE_STATIONERY,"Registers, charts, signage & stationery","Patient and dispensing registers, clinical wall charts, safety notices and labelling, reference books and office stationery.",false,,register;chart;signage;stationery;labels;reference book
FACILITY_GENERAL_SUPPLIES,General facility supplies & accessories,"Clocks, mirrors, room thermometers, calendars, tissues and other general facility accessories.",false,,clock;mirror;tissues;calendar;room thermometer
VEHICLE_FLEET_EQUIPMENT,Ambulance & fleet vehicle equipment,"Ambulance beacons, sirens and emergency vehicle fittings.",false,,ambulance;beacon;siren;emergency vehicle;fleet
